prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,espn_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
02vkfagg3r,Baldwin,Drake,,2001,3,28,baldwdr01,,31539,686948,12203,baldwdr01,60077
04ta2mnv00,Vientos,Mark,,1999,12,11,vientma01,,22184,668901,10282,vientma01,10922
05811feewg,Marte,Starling,,1988,10,9,martest01,,9241,516782,7736,martest01,9118
05tt9gm92w,Montas,Frankie,,1993,3,21,montafr02,,14309,593423,9103,montafr02,10027
07gbakc48c,Lodolo,Nick,,1998,2,5,lodolni01,,26378,666157,10964,lodolni01,11750
08wv6yydrm,Adam,Jason,,1991,8,4,adamja01,,11861,592094,10025,adamja01,11009
09b13bd6m8,Lowder,Rhett,,2002,3,8,lowderh01,,33876,695076,11933,lowderh01,62977
0d08y8503m,Pederson,Joc,,1992,4,21,pederjo01,,11899,592626,8688,pederjo01,9414
0eqwpj88q0,Glasnow,Tyler,,1993,8,23,glasnty01,,14374,607192,8700,glasnty01,9616
0g8pjgx25w,Duran,Jarren,,1996,9,5,duranja01,,24617,680776,10824,duranja01,11735
0gk71p64rw,Butto,Jose,,1998,3,19,buttojo01,,23313,676130,11400,buttojo01,12337
0jz9s3m1dw,Castellanos,Nick,,1992,3,4,casteni01,,11737,592206,8221,casteni01,9108
0kmr7qjmec,Swanson,Erik,,1993,9,4,swanser01,,16587,657024,10449,swanser01,11236
0m24y75bmm,Alexander,Blaze,,1999,6,11,alexabl01,,23789,677942,10142,alexabl01,11415
0qngprby74,Houck,Tanner,,1996,6,29,houckta01,,19879,656557,11068,houckta01,10852
0r5rkppfn0,Moncada,Yoan,,1995,5,27,moncayo01,,17232,660162,8979,moncayo01,9900
0vzj26ds0m,Heaney,Andrew,,1991,6,5,heanean01,,15423,571760,8670,heanean01,9586
0x9v79b9xm,Scott,Victor,,2001,2,12,scottvi01,,31349,687363,11947,scottvi01,61888
0yg1r3jbr8,Ragans,Cole,,1997,12,12,raganco01,,21846,666142,10166,raganco01,10610
0ywnbtb694,Springer,George,,1989,9,19,springe01,,12856,543807,8433,springe01,9339
0zr8qaqwwg,Whitcomb,Shay,,1998,9,28,whitcsh01,,27789,694376,12156,whitcsh01,12442
0zwby8rnhc,Rodriguez,Endy,,2000,5,26,rodrien01,,25332,682848,11584,rodrien01,12160
10r73bae1g,Vargas,Miguel,,1999,11,17,vargami01,,20178,678246,10417,vargami01,11781
11agc7snhg,Hicks,Jordan,,1996,9,6,hicksjo03,,19618,663855,9957,hicksjo03,10947
11rnchfqbg,Megill,Tylor,,1995,7,28,megilty01,,21318,656731,11227,megilty01,12215
11xr0hsce0,Sewald,Paul,,1990,5,26,sewalpa01,,13892,623149,9642,sewalpa01,10657
150c9tvh6w,Singleton,Jonathan,,1991,9,18,singljo02,,10441,572138,8213,singljo02,9099
15rar3ch18,Sasaki,Roki,,2001,11,3,sasakro01,,35323,808963,11940,sasakro01,64803
16cnyyqtvg,Ginkel,Kevin,,1994,3,24,ginkeke01,,19876,656464,10662,ginkeke01,11626
16gqhnv2e0,De La Cruz,Elly,,2002,1,11,delacel01,,26668,682829,11583,delacel01,12393
173yc4sz10,Dezenzo,Zach,,2000,5,11,dezenza01,,31562,701305,12145,dezenza01,62488
1770bsg9rw,Chourio,Jackson,,2004,3,11,chourja01,,28806,694192,11738,chourja01,12480
179je9rszc,Koenig,Jared,,1994,1,24,koenija01,,27517,657649,11489,koenija01,12630
17m05z683m,Busch,Michael,,1997,11,9,buschmi02,,26319,683737,11048,buschmi02,11778
