prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,espn_id,gsis_id,nffc_id,pfr_id,sleeper_id,sportradar_id,wikidata_id,yahoo_id
01rb14s3zm,Shipley,Will,,2002,8,29,4431545,00-0039746,21141,ShipWi00,11577,796e223d-e8d5-42ab-afb4-557fa6183357,Q109187026,41002
059xleevqh,Hall,Breece,,2001,5,31,4427366,00-0038120,19427,HallBr03,8155,db1053d7-3343-43a3-9aab-8353f10f1221,Q99670654,33991
09w695n8hr,Chandler,Ty,,1998,5,12,4242431,00-0037276,19471,ChanTy01,8230,a0833a94-60ce-4a3a-a32a-d067fe7b253d,Q111818676,34125
0nr4xs8zx0,Simpson,Ty,,2002,12,21,4685522,00-0041568,22936,SimpTy00,13275,2e62e603-363a-425f-8c57-0a1600476c85,Q116234477,42635
0pp77rg64h,Edwards,Donovan,,2003,2,25,4431536,00-0040400,21149,EdwaDo01,12515,162f3110-24fe-11f0-9c33-270dfe4c58dc,Q108408578,42226
0ps0bjgzy0,Mendoza,Fernando,,2003,10,1,4837248,00-0041562,22928,MendFe00,13269,b1ded115-092a-4199-9a55-cab9f4b5bb18,Q123411920,42623
0z7b94ldpd,Henry,Derrick,,1994,1,4,3043078,00-0032764,15055,HenrDe00,3198,87c481c7-7414-43cc-82df-19ca0c2ae22e,Q16729768,29279
10nt79jntd,Gordon,Ollie,,2004,1,15,4711533,00-0040198,22071,GordOl00,12495,42753bb4-a416-4d40-bf81-f20d2181be2f,Q115587460,41969
1540mysd5m,Williams,Caleb,,2001,11,18,4431611,00-0039918,21124,WillCa03,11560,49d4b627-3f19-49a8-ae33-f539e0fb1f88,Q108878513,40900
1dx1b5rhq0,Bentley,Ulysses,,2000,12,30,4426689,00-0040476,22461,BentUl00,12826,f71d0370-23b2-11f0-b632-8947e146a0ae,Q132435855,42126
1k1xvf02bw,Luepke,Hunter,,2000,2,28,4383396,00-0038738,21079,LuepHu00,11510,58f425d0-f677-11ed-978f-0975e9cb7dba,Q114498061,40780
1nf9zydt44,Brooks,Tahj,,2002,5,13,4429299,00-0040208,22300,BrooTa00,12543,8d50af87-f6dc-42cb-a7e7-11716667a1dc,Q122999654,41983
22ddgf0rxm,McLaughlin,Jaleel,,2000,9,13,4722893,00-0038794,21005,McLaJa00,11439,60b4ded0-f321-11ed-ab27-e38fa04fd6c0,Q120973540,40696
22kns1s024,Singleton,Nicholas,,2004,1,6,4685555,00-0040886,22943,SingNi01,13288,0111286e-ef59-40dd-97e8-967204490e34,Q113468531,42763
2389bt5vmh,Singletary,Devin,,1997,9,3,4040761,00-0035250,17034,SingDe00,6130,a961b0d4-5d7c-438e-90f0-2e1fa09f6c89,Q44389375,31906
274d354sbr,Tracy,Tyrone,,1999,11,23,4360516,00-0039384,21183,TracTy00,11655,fc6c7973-79a9-4974-855e-bc13400fe641,Q124714586,41048
27cz4r21c0,Nix,Bo,,2000,2,25,4426338,00-0039732,20299,NixxBo00,11563,f056c8ed-6ee5-492c-af11-3f7e3d97195c,Q64010450,40875
2lb8r8c86d,Demercado,Emari,,1999,1,20,4362478,00-0038705,20719,DemeEm00,11199,44b4cbf0-e8fe-11ed-bc6e-a5c4d3ccbdd1,Q118133409,40430
2p2k0my3lr,Maye,Drake,,2002,8,30,4431452,00-0039851,21125,MayeDr00,11564,d0c0630e-8925-4b81-a32b-e4146d95f01f,Q113363657,40881
2ry9rb0qf0,Stafford,Matthew,,1988,2,7,12483,00-0026498,7697,StafMa00,421,ade43b1a-0601-4672-83b6-d246bc066a19,Q889130,9265
3f6l75ecsw,Allen,Braelon,,2004,1,20,4685247,00-0039794,21132,AlleBr05,11576,d7f72deb-c1e2-47a2-b651-887f0e33dc44,Q109570622,40981
3g970qfk90,Williams,Kyren,,2000,8,26,4430737,00-0037840,19450,WillKy02,8150,19d44771-8f1d-4127-9b7d-230da137f15d,Q100408299,34120
3lcg8zg194,Mason,Jordan,,1999,5,24,4360569,00-0037525,19872,MasoJo00,8408,af9f7390-ca80-11ec-97ae-e1573849d1a6,Q113869071,34320
3qv3f5jeqh,Holani,George,,1999,12,16,4429835,00-0039299,21709,HolaGe00,12048,971a3930-0724-11ef-a47d-6f7fe8c7bc97,Q124788532,41344
3v02hez7pr,Gainwell,Kenny,,1999,3,14,4371733,00-0036919,18772,GainKe00,7567,e2a5882a-dcc1-4800-889f-3b957b21834f,Q88089345,33538
4712ckx40r,Ward,Cam,,2002,5,25,4688380,00-0040676,20310,WardCa00,12522,3c76cab3-3df2-43dd-acaa-57e055bd32d0,Q110263644,41786
4cetc28rd0,Davis,Ray,,1999,11,20,4429501,00-0039875,21151,DaviRa04,11575,a856dd59-ed95-471a-bfb9-fbd0566bd1a9,Q123050591,40980
4fsbd09q6r,Dillon,AJ,,1998,5,2,4239934,00-0036265,17996,DillAJ00,6828,e10bfeb8-ea01-47bc-bfa8-45f6dcbf71b3,Q54861465,32732
4jntkkkqbw,Heidenreich,Eli,,2003,7,28,5081508,00-0041490,22968,HeidEl00,13423,4e49c857-13bf-4156-ab13-706e4088179b,Q136803025,42852
4pq7mxw38m,Claiborne,Demond,,2003,10,9,4832846,00-0041104,22944,ClaiDe00,13347,b17d816a-b687-488f-ac03-7dcba5aae0b6,Q136132094,42820
50mvqb2dpr,Etienne,Trevor,,2004,7,9,4685350,00-0040644,22094,EtieTr01,12531,39e2d13c-0fb7-465f-ad8b-0b4bb73e1124,Q115492523,41913
52jvllxxym,Hubbard,Chuba,,1999,6,11,4241416,00-0036555,18773,HubbCh01,7594,32205e74-b23f-420a-b312-465b29260745,Q67691583,33514
5ec9q5q0l4,Spears,Tyjae,,2001,6,15,4428557,00-0039032,20329,SpeaTy00,9508,af71f149-7758-40b7-973a-9fe6320cf4f5,Q115542257,40119
5epyecgxrd,Saylors,Jacob,,2000,3,8,4383429,00-0038896,20790,SaylJa00,11237,99a7f770-ea18-11ed-a93b-a93886fe0bfd,Q134625884,40474
5esy3jmwmw,James,Jordan,,2004,3,29,4685397,00-0040177,22097,JameJo01,12467,c16040c3-7534-4eeb-956c-8ed3be9972ec,Q123474548,41933
5gndzvppcw,Kamara,Alvin,,1995,7,25,3054850,00-0033906,15293,KamaAl00,4035,d9c857b2-97da-4fb8-a527-afbbb2a67413,Q27443318,30180
65b1l2hcxm,Barkley,Saquon,,1997,2,9,3929630,00-0034844,16062,BarkSa00,4866,9811b753-347c-467a-b3cb-85937e71e2b9,Q21620839,30972
6grvb5b0ed,Love,Jordan,,1998,11,2,4036378,00-0036264,17997,LoveJo03,6804,e5094779-e94f-4052-8597-bdbee3719f6b,Q60736806,32696
6pxwycv8c0,Marshall,Ahmani,,2002,3,21,4432374,00-0040260,22439,MarsAh00,12797,c18cabc0-2321-11f0-80a0-bb24566134d1,Q136652161,42092
